date,Loose,Tight
1998-04-13,0.9997817500885265,0.0002182499114734925
1998-04-14,0.9998107396489625,0.0001892603510375299
1998-04-15,0.9998123535769237,0.0001876464230763325
1998-04-16,0.9997906538581128,0.00020934614188708423
1998-04-17,0.9997776426788132,0.00022235732118677256
1998-04-20,0.9997386720894357,0.0002613279105643485
1998-04-21,0.9997592210617872,0.00024077893821275977
1998-04-22,0.9997335071669191,0.0002664928330809256
1998-04-23,0.9996303509956787,0.00036964900432125646
1998-04-24,0.9994663646303881,0.0005336353696119926
1998-04-27,0.9994137969875949,0.0005862030124050243
1998-04-28,0.9994847029156924,0.0005152970843076438
1998-04-29,0.9996350929437845,0.00036490705621543035
1998-04-30,0.9996578000512643,0.00034219994873568914
1998-05-01,0.9997261633840017,0.0002738366159983284
1998-05-04,0.9997720578581156,0.00022794214188442917
1998-05-05,0.9997830756302263,0.0002169243697737226
1998-05-06,0.9997604348442515,0.000239565155748385
1998-05-07,0.9997322576623333,0.00026774233766666325
1998-05-08,0.999640444075703,0.00035955592429707313
1998-05-11,0.9996433567970981,0.00035664320290178936
1998-05-12,0.9995971950457851,0.0004028049542147924
1998-05-13,0.9996027633406878,0.00039723665931211904
1998-05-14,0.9997045253507679,0.00029547464923205586
1998-05-15,0.9997215548102016,0.0002784451897983486
1998-05-18,0.99966059711778,0.00033940288222004267
1998-05-19,0.9996818822301025,0.000318117769897576
1998-05-20,0.9996905431867066,0.0003094568132933864
1998-05-21,0.9996182208328114,0.000381779167188574
1998-05-22,0.9993870175466467,0.0006129824533533946
1998-05-25,0.9988176025041247,0.001182397495875348
1998-05-26,0.9974542832351921,0.0025457167648078394
1998-05-27,0.9986268070266883,0.0013731929733117466
1998-05-28,0.9991952723064262,0.0008047276935737478
1998-05-29,0.9994235544515456,0.0005764455484543973
1998-05-31,0.9994142234145253,0.0005857765854747294
1998-06-01,0.9993752449581378,0.0006247550418623164
1998-06-02,0.9995091536168967,0.000490846383103242
1998-06-03,0.9995971408753473,0.00040285912465270346
1998-06-04,0.9996173466001841,0.00038265339981583793
1998-06-05,0.9995860602249264,0.00041393977507363813
1998-06-08,0.9994144267385511,0.0005855732614489895
1998-06-09,0.9989956582464851,0.0010043417535148856
1998-06-10,0.9979900277656459,0.0020099722343542075
1998-06-11,0.9973291118046899,0.0026708881953101155
1998-06-12,0.9959726249157541,0.004027375084245744
1998-06-15,0.9926998189894263,0.007300181010573812
1998-06-16,0.995073258271144,0.004926741728855977
1998-06-17,0.9959573523043913,0.004042647695608611
1998-06-18,0.998055798846645,0.0019442011533549628
1998-06-19,0.9989644277397688,0.0010355722602311407
1998-06-22,0.9993516926671989,0.0006483073328009751
1998-06-23,0.9994725576942743,0.0005274423057257197
1998-06-24,0.9995986955079665,0.000401304492033509
1998-06-25,0.9996064189563467,0.00039358104365340587
1998-06-26,0.999648296268746,0.00035170373125398334
1998-06-29,0.9996728511943336,0.0003271488056663562
1998-06-30,0.9995851924631282,0.00041480753687184543
1998-07-01,0.9995694722932765,0.0004305277067233759
1998-07-02,0.9996993400813831,0.00030065991861699524
1998-07-03,0.99972548889135,0.00027451110864997364
1998-07-06,0.9996708962779853,0.0003291037220146264
1998-07-07,0.9997102570912683,0.0002897429087318221
1998-07-08,0.9997089941495773,0.0002910058504227982
1998-07-09,0.9997191223237254,0.00028087767627459314
1998-07-10,0.9997199229440389,0.0002800770559612174
