Date,VIX Tightness Shock,HY Spread Tightness Shock,T10Y2Y Tightness Shock
2010-09-13,-0.2563258734188729,-0.5099999999999998,-0.14000000000000012
2010-09-14,-0.2344888574001981,-0.5499999999999998,-0.1800000000000006
2010-09-15,-0.14162638325693555,-0.5100000000000007,-0.1900000000000004
2010-09-16,-0.16950734878931195,-0.5300000000000002,-0.23000000000000043
2010-09-17,-0.23138943414194957,-0.5800000000000001,-0.25000000000000044
2010-09-20,-0.2186303114491287,-0.5499999999999998,-0.1900000000000004
2010-09-21,-0.18576470979959903,-0.5,-0.14000000000000057
2010-09-22,-0.24875396352365542,-0.5800000000000001,-0.1900000000000004
2010-09-23,-0.16065975080343697,-0.5499999999999998,-0.17000000000000037
2010-09-24,-0.2762435387685226,-0.6099999999999994,-0.2500000000000002
2010-09-27,-0.1313261561985679,-0.4499999999999993,-0.07000000000000028
2010-09-28,-0.2415476574424369,-0.5299999999999994,-0.14000000000000012
2010-09-29,-0.17015520997550493,-0.6299999999999999,-0.15000000000000036
2010-09-30,-0.06788290485507897,-0.54,-0.10000000000000009
2010-10-01,-0.08921485350156522,-0.5,-0.0600000000000005
2010-10-04,0.03763235075314253,-0.3899999999999997,0.040000000000000036
2010-10-05,0.04347865780805793,-0.4400000000000004,0.11000000000000032
2010-10-06,-0.08577598134229969,-0.5299999999999994,0.0900000000000003
2010-10-07,-0.059409408654592655,-0.45999999999999996,0.0900000000000003
2010-10-08,-0.07990953832522907,-0.34999999999999964,0.14000000000000012
2010-10-11,-0.1284606346426973,-0.2599999999999998,0.1599999999999997
2010-10-12,-0.09457224463803482,-0.28000000000000025,0.1299999999999999
2010-10-13,-0.10367822655159853,-0.34000000000000075,0.08000000000000007
2010-10-14,-0.08624951697366456,-0.33999999999999986,0.08999999999999986
2010-10-15,-0.11181148607333014,-0.2999999999999998,0.05999999999999961
2010-10-18,-0.1220103191652111,-0.22000000000000064,0.11999999999999966
2010-10-19,-0.01816852526658541,-0.20999999999999996,0.10999999999999988
2010-10-20,-0.0984208108294935,-0.2600000000000007,0.009999999999999787
2010-10-21,-0.13185554443616665,-0.34999999999999964,-0.0900000000000003
2010-10-22,-0.217701263239111,-0.41000000000000014,-0.14000000000000057
2010-10-25,-0.07023560237553206,-0.41999999999999993,-0.0600000000000005
2010-10-26,-0.08982703373486356,-0.5700000000000003,-0.18000000000000016
2010-10-27,-0.06825553582851496,-0.6299999999999999,-0.25000000000000044
2010-10-28,-0.08880800289371782,-0.5200000000000005,-0.25
2010-10-29,-0.09283717110531098,-0.4399999999999995,-0.1900000000000004
2010-11-01,-0.04293938586052426,-0.27000000000000046,-0.2100000000000004
2010-11-02,0.0203735182614444,-0.23999999999999932,-0.1800000000000006
2010-11-03,-0.060403372640952635,-0.23000000000000043,-0.2800000000000007
2010-11-04,-0.11683043578250984,-0.2400000000000002,-0.13000000000000078
2010-11-05,-0.09144445181892635,-0.33000000000000007,-0.12000000000000055
2010-11-08,-0.005301275011790008,-0.35000000000000053,-0.10000000000000009
2010-11-09,0.039474005109463084,-0.4400000000000004,-0.16000000000000014
2010-11-10,0.0001076869628322541,-0.2699999999999996,-0.0900000000000003
2010-11-11,-0.03316329002361562,-0.21999999999999975,0.009999999999999787
2010-11-12,0.11527994449076662,-0.20000000000000018,0.04999999999999982
2010-11-15,0.09223377234193664,-0.34999999999999964,-0.17000000000000037
2010-11-16,0.12938504640072002,-0.15000000000000036,-0.13000000000000034
2010-11-17,0.13378712494774658,-0.16999999999999993,-0.15000000000000036
2010-11-18,0.02173581598302865,-0.20000000000000018,-0.10000000000000009
2010-11-19,0.009297275938053629,-0.15000000000000036,-0.040000000000000036
2010-11-22,-0.029385546992412026,0.0,-0.010000000000000231
2010-11-23,0.07500132844380047,0.25,0.029999999999999805
2010-11-24,-0.0010983180525918623,0.1999999999999993,0.029999999999999805
2010-11-26,0.05949302235743348,0.1200000000000001,-0.07000000000000028
